IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.26,,,10.87,,11.62,11.26 [10.87-11.62],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.26,,,9.81,,13.22,11.26 [9.81-13.22],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.32,,,10.67,,11.93,11.32 [10.67-11.93],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FRA,France,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.34,,,11.14,,11.58,11.34 [11.14-11.58],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PRY,Paraguay,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,11.46,,,7.69,,18.18,11.46 [7.69-18.18],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.51,,,11.2,,11.88,11.51 [11.20-11.88],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.52,,,9.99,,13.25,11.52 [9.99-13.25],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.55,,,10.04,,13.08,11.55 [10.04-13.08],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.57,,,11.17,,11.94,11.57 [11.17-11.94],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,11.6,,,8.58,,15.76,11.60 [8.58-15.76],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.67,,,10.67,,12.8,11.67 [10.67-12.80],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.7,,,5.98,,19.88,11.70 [5.98-19.88],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.75,,,10.48,,13.56,11.75 [10.48-13.56],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.78,,,8.46,,15.13,11.78 [8.46-15.13],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,NAM,Namibia,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.81,,,6.32,,18.88,11.81 [6.32-18.88],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.83,,,10.98,,12.65,11.83 [10.98-12.65],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.85,,,8.33,,15.4,11.85 [8.33-15.40],,,EN,2022-08-11T22:00:00.000Z
